player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Miku,NCL.GC,1.43,320.6,1.58,76%,191.6,1.09,0.25,0.33,0.20,20%,45%
florescent,SR,1.35,285.6,1.41,73%,185.0,0.99,0.19,0.16,0.14,29%,14%
patitop,,1.31,263.5,1.48,77%,177.0,0.96,0.17,0.11,0.08,32%,24%
Zanatsu,RED,1.29,288.7,1.44,76%,183.9,1.04,0.16,0.24,0.16,34%,8%
amxlist,,1.29,213.2,1.31,78%,135.4,0.74,0.61,0.09,0.07,35%,22%
ZesBeeW,BME,1.28,227.1,1.38,81%,145.3,0.82,0.44,0.10,0.05,19%,12%
Persia,SPG,1.28,225.3,1.30,75%,152.7,0.81,0.49,0.07,0.06,34%,31%
Liz,NTH,1.27,250.3,1.33,75%,174.4,0.86,0.29,0.14,0.06,36%,13%
conir,KRÜ.B,1.27,215.0,1.39,87%,137.8,0.82,0.48,0.09,0.06,27%,29%
srN,MIBR.GC,1.27,278.7,1.43,73%,177.6,0.99,0.16,0.26,0.22,23%,41%
kaajak,APK,1.26,276.9,1.39,71%,176.4,0.99,0.17,0.26,0.17,39%,11%
Asomy,NCL.GC,1.25,229.2,1.34,76%,144.0,0.83,0.46,0.06,0.04,26%,13%
Needy,,1.24,264.0,1.34,75%,172.7,0.93,0.13,0.15,0.17,33%,16%
Spaz,TACO,1.23,215.8,1.20,79%,133.7,0.76,0.47,0.09,0.05,21%,30%
Lar0k,PCF,1.22,212.7,1.25,74%,138.9,0.77,0.38,0.09,0.07,33%,22%
Derke,FNC,1.22,257.4,1.33,72%,167.0,0.92,0.18,0.17,0.14,24%,27%
dods,KRÜ.B,1.22,270.0,1.38,74%,172.8,1.02,0.14,0.26,0.18,32%,29%
Kaoticcc,SaD,1.22,286.0,1.30,71%,179.6,1.00,0.16,0.23,0.17,25%,17%
dodonut,FLY.R,1.21,239.3,1.26,77%,155.4,0.83,0.33,0.13,0.09,25%,24%
fluxxy,HERO,1.21,218.3,1.26,76%,142.3,0.80,0.35,0.06,0.05,29%,23%
Chronicle,FNC,1.21,224.4,1.23,73%,153.8,0.77,0.29,0.13,0.07,26%,12%
Jelly,MIBR.GC,1.21,225.2,1.19,82%,141.1,0.81,0.43,0.08,0.03,37%,14%
kari,,1.21,196.6,1.31,77%,131.8,0.74,0.29,0.06,0.04,27%,4%
StarBound,FLY.R,1.20,220.4,1.36,78%,143.3,0.79,0.27,0.14,0.07,17%,14%
Sayonara,KPI,1.20,262.9,1.34,73%,169.4,0.95,0.26,0.15,0.13,34%,11%
skuba,OXG,1.19,225.7,1.21,76%,139.6,0.80,0.36,0.10,0.09,34%,11%
aNguiSt,CGN,1.18,218.3,1.28,71%,148.2,0.81,0.14,0.10,0.08,34%,14%
antG,LOUD.GC,1.18,216.1,1.19,73%,135.2,0.79,0.43,0.06,0.08,32%,7%
waved,LOUD.GC,1.18,272.3,1.23,74%,177.6,0.92,0.21,0.21,0.15,25%,23%
v1c,MxS,1.18,232.7,1.30,78%,149.5,0.81,0.34,0.10,0.08,25%,5%
CHICHOO,EDG,1.18,221.5,1.24,76%,144.5,0.79,0.29,0.11,0.06,29%,16%
ComeBack,PCF,1.17,263.6,1.31,72%,170.8,0.93,0.16,0.20,0.16,28%,9%
Famouz,BME,1.17,241.3,1.27,73%,159.8,0.83,0.24,0.19,0.13,16%,15%
karie,SNG,1.17,229.3,1.25,74%,157.9,0.84,0.23,0.06,0.07,35%,9%
basic,,1.16,198.1,1.24,79%,132.2,0.73,0.41,0.04,0.06,33%,16%
PROFEK,GN,1.16,206.5,1.18,75%,142.1,0.73,0.34,0.08,0.06,27%,10%
foxz,FS,1.16,210.1,1.15,77%,140.6,0.73,0.40,0.08,0.04,29%,29%
stellar,DZ,1.16,204.9,1.19,74%,130.0,0.75,0.34,0.08,0.06,28%,14%
wippie,C9,1.16,187.6,1.26,79%,126.7,0.67,0.39,0.06,0.05,24%,17%
Shondex,Blue,1.16,213.1,1.26,74%,144.5,0.79,0.19,0.08,0.07,33%,11%
Shiro,BME,1.16,215.8,1.19,79%,145.4,0.76,0.49,0.11,0.08,26%,12%
curry,SEN,1.15,220.0,1.28,72%,142.9,0.81,0.27,0.09,0.09,40%,16%
Timotino,ROSE,1.15,243.6,1.20,70%,156.0,0.84,0.23,0.15,0.13,27%,16%
Pa1nt,Blue,1.15,258.9,1.25,72%,164.8,0.93,0.19,0.24,0.17,28%,9%
Filu,DSY,1.15,247.5,1.22,73%,157.4,0.89,0.15,0.23,0.17,32%,18%
Dantedeu5,AK,1.15,256.6,1.17,73%,162.2,0.88,0.26,0.18,0.15,29%,16%
RieNs,TH,1.15,214.2,1.17,75%,145.0,0.76,0.29,0.09,0.09,38%,22%
bstrdd,TL,1.14,245.6,1.19,73%,159.8,0.83,0.20,0.21,0.15,28%,13%
Kyu,AMB,1.14,216.6,1.19,76%,142.7,0.73,0.36,0.08,0.06,22%,11%
welyy,Blue,1.14,199.0,1.17,76%,134.2,0.68,0.37,0.09,0.05,28%,17%
lukxo,GLRS,1.14,230.3,1.17,71%,152.6,0.82,0.30,0.11,0.10,31%,17%
cidZzZ,LGCY,1.14,180.0,1.17,77%,122.3,0.62,0.40,0.05,0.06,22%,9%
aspas,LEV,1.14,220.5,1.19,74%,146.9,0.80,0.17,0.15,0.10,28%,16%
grahams,SISU,1.14,232.6,1.15,72%,152.8,0.78,0.25,0.15,0.14,34%,23%
Smoggy,EDG,1.14,213.1,1.21,76%,133.8,0.76,0.37,0.06,0.06,28%,15%
gui,,1.13,221.9,1.17,74%,146.6,0.78,0.23,0.09,0.07,31%,17%
Suka,RLF,1.13,229.9,1.07,74%,160.8,0.82,0.40,0.08,0.08,26%,12%
Jerrwin,LS,1.13,261.0,1.15,72%,167.2,0.89,0.27,0.20,0.16,22%,21%
Rebo,ROSE,1.13,209.6,1.08,73%,131.3,0.72,0.39,0.09,0.07,22%,19%
westside,DIA,1.13,210.7,1.16,68%,142.0,0.75,0.19,0.08,0.07,37%,20%
biazik,KRÜ.B,1.13,199.4,1.15,77%,142.6,0.72,0.36,0.10,0.05,24%,19%
Loita,PCF,1.13,223.8,1.15,76%,145.3,0.77,0.42,0.12,0.11,42%,16%
PTC,FS,1.13,207.9,1.17,76%,133.1,0.75,0.44,0.09,0.09,27%,23%
avery,FLOP,1.12,212.4,1.09,78%,140.6,0.73,0.39,0.07,0.03,28%,12%
